"Species","Limb_width","Limb_length","Observer"
"Pinus banksiana",3.89359926711768,0.344202904962003,"Mabel"
"Amaranthus palmeria",3.84455651976168,3.72856463957578,"Maria Jose"
"Lythrum salicaria",2.50014337152243,1.55414244532585,"Mabel"
"Pinus banksiana",1.65512242633849,1.85364460200071,"Maria Jose"
"Allaria petiolata",3.2685183333233,3.46208978816867,"Mabel"
"Pinus banksiana",3.93219721131027,0.588903537020087,"Mia"
"Amaranthus palmeria",1.18527045380324,3.374532350339,"Maria Jose"
"Allaria petiolata",3.07105519622564,3.90038484614342,"Mabel"
"Allaria petiolata",3.70475412625819,1.15536380559206,"Mabel"
"Allaria petiolata",0.735688247717917,1.56538916286081,"Mabel"
"Allaria petiolata",1.48246924672276,3.11163465119898,"Maria Jose"
"Lythrum salicaria",1.95423548389226,2.58943429589272,"Mabel"
"Amaranthus palmeria",1.79785966686904,1.68627531733364,"Mia"
"Amaranthus palmeria",3.25433823466301,0.765135197900236,"Mabel"
"Pinus contorta",3.61721705365926,2.81354668084532,"Mabel"
"Pinus contorta",1.3563038976863,3.98713468015194,"Mabel"
"Amaranthus palmeria",0.601562572643161,2.33545380923897,"Mia"
"Amaranthus palmeria",3.26371000614017,2.92241922486573,"Maria Jose"
"Lythrum salicaria",2.86422838363796,1.57117689494044,"Mabel"
"Amaranthus palmeria",3.95454299263656,0.556044143624604,"Mabel"
"Lythrum salicaria",3.20289485994726,2.08560367766768,"Maria Jose"
"Amaranthus palmeria",3.70203065034002,1.84333850257099,"Maria Jose"
"Allaria petiolata",3.39558005426079,0.311309143900871,"Maria Jose"
"Lythrum salicaria",0.27775998134166,2.97396778129041,"Mabel"
"Lythrum salicaria",1.39569242019206,2.36098749190569,"Maria Jose"
"Lythrum salicaria",2.55303203873336,3.9574287366122,"Maria Jose"
"Amaranthus palmeria",0.0210490031167865,0.822595603764057,"Maria Jose"
"Pinus banksiana",1.58347711525857,0.890549710020423,"Mabel"
